article group name;item number;article description;supplier;supplier's item number;EAN number 1;EAN number 2;EAN number 3;EAN number 4;EAN number 5;EAN number 6;retail price;currency code;RRP;availability (steps);mark new prices;price changes;deleted items;customs tariff number
Instant cameras;103154;Fujifilm Instax Mini Hello Kitty Set;Fujifilm;70100118555;4260010852693;;;;;;73.42;EUR;99.00;> 100;;;;37012000
Instant cameras;117714;Polaroid  600 Camera 80's style refurbished  Set;Polaroid;PRD_2489;9120042751928;;;;;;95.21;EUR;;> 10;;;;37012000
Instant cameras;117721;Polaroid  600 Camera 90's style refurbished Set;Polaroid;PRD_2490;9120042751935;;;;;;81.99;EUR;;> 20;;;;37012000
Instant cameras;330113;Fujifilm Instax 210;Fujifilm;15952363;4547410093988;4547410095104;;;;;54.72;EUR;99.00;0;;;;37012000
Instant cameras;523187;Fujifilm Instax Mini 50S piano black;Fujifilm;16102240;4547410132847;;;;;;88.92;EUR;149.00;> 30;;;;37012000
Instant cameras;596099;Fujifilm Instax Mini 25;Fujifilm;15953812;4547410096828;4547410206654;;;;;63.51;EUR;129.00;> 40;;;;37012000
Instant cameras;643895;Fujifilm Instax Mini 25 Set;Fujifilm;70100105329;4260010852167;;;;;;68.50;EUR;139.00;0;;;;37012000
Instant cameras;643902;Fujifilm Instax Mini 50S Piano Black Set;Fujifilm;70100105331;4260010852174;;;;;;93.91;EUR;159.00;> 10;;;;37012000
Instant cameras;695289;Fujifilm Instax Mini 8 white;Fujifilm;16427688;4547410224443;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;695303;Fujifilm Instax Mini 8 black;Fujifilm;16427690;4547410224467;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;695310;Fujifilm Instax Mini 8 pink;Fujifilm;16427717;4547410224474;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;695324;Fujifilm Instax Mini 8 blue;Fujifilm;16427729;4547410224481;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;695338;Fujifilm Instax Mini 8 yellow;Fujifilm;16427743;4547410224498;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;695359;Fujifilm Instax Mini 8 Set white;Fujifilm;70100106463;4260010852198;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;695373;Fujifilm Instax Mini 8 Set black;Fujifilm;70100106464;4260010852181;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;695380;Fujifilm Instax Mini 8 Set pink;Fujifilm;70100106465;4260010852204;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;695387;Fujifilm Instax Mini 8 Set blue;Fujifilm;70100106466;4260010852211;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;695394;Fujifilm Instax Mini 8 Set yellow;Fujifilm;70100106467;4260010852228;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;739347;Fujifilm Instax Mini 90 Neo Classic;Fujifilm;16404583;4547410260649;;;;;;102.66;EUR;149.00;> 10;;;;37012000
Instant cameras;840203;Fujifilm Instax Wide 300;Fujifilm;16445795;4547410291735;;;;;;90.62;EUR;129.00;> 100;;;;37012000
Instant cameras;849534;Fujifilm Instax Mini 90 brown Neo Classic;Fujifilm;16423981;4547410269321;;;;;;102.66;EUR;149.00;> 40;;;;37012000
Instant cameras;849541;Fujifilm Instax Mini 8 rasperry;Fujifilm;16443838;4547410290462;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;849548;Fujifilm Instax Mini 8 grape;Fujifilm;16443840;4547410290479;;;;;;51.30;EUR;79.00;0;;;;37012000
Instant cameras;849555;Fujifilm Instax Mini 8 Set rasperry;Fujifilm;70100114777;4260010852365;;;;;;56.34;EUR;89.00;0;;;;37012000
Instant cameras;849562;Fujifilm Instax Mini 8 Set grape;Fujifilm;70100114776;4260010852372;;;;;;56.34;EUR;89.00;0;;;;37012000
Digital compact cameras;100214;Sony DSC-WX500 black;Sony;DSCWX500B.CE3;4548736014138;;;;;;298.44;EUR;399.00;3;;;;85258030000
Digital compact cameras;100221;Sony DSC-WX500 red;Sony;DSCWX500R.CE3;4548736014275;;;;;;298.44;EUR;399.00;7;;;;85258030000
Digital compact cameras;100228;Sony DSC-WX500 white;Sony;DSCWX500W.CE3;4548736014183;;;;;;298.44;EUR;399.00;6;;;;85258030000
Digital compact cameras;100235;Sony DSC-HX90;Sony;DSCHX90B.CE3;4548736014299;;;;;;336.26;EUR;449.00;0;;;;85258030000
Digital compact cameras;100242;Sony DSC-HX90V;Sony;DSCHX90VB.CE3;4548736014367;;;;;;351.06;EUR;469.00;0;;;;85258030000
Digital compact cameras;101432;Easypix W1400 active blue;Easypix;;4260041684713;;;;;;48.24;EUR;;0;;;;85258030000
Digital compact cameras;101572;Panasonic Lumix DMC-TZ57 black;Panasonic;DMC-TZ57EG-K;5025232819164;;;;;;174.33;EUR;;> 40;;;;85258030000
Digital compact cameras;101579;Panasonic Lumix DMC-TZ57 white;Panasonic;DMC-TZ57EG-W;5025232819225;;;;;;174.33;EUR;;> 30;;;;85258030000
Digital compact cameras;104134;Sigma DP2 Merrill + Sigma SC-11 Soft Camera Case;Sigma;C78900/C79900;;;;;;;319.73;EUR;;> 90;;;;85258030000
Digital compact cameras;106976;Ricoh WG-30 ebony black + Floating Wrist Strap yellow;Ricoh;;;;;;;;171.72;EUR;;0;;;;
Digital compact cameras;106983;Ricoh WG-30 vermilion red + Floating Wrist Strap yellow;Ricoh;;;;;;;;171.72;EUR;;0;;;;
Digital compact cameras;106990;Ricoh WG-30 WiFi carbon grey + neopren camera case black;Ricoh;;;;;;;;188.52;EUR;;1;;;;
Digital compact cameras;107004;Ricoh WG-30 WiFi flame orange + neopren camera case black;Ricoh;;;;;;;;188.52;EUR;;> 20;;;;
Digital compact cameras;112100;Nikon COOLPIX S2900 Kit black + 4GB Card + Bag;Nikon;S2900 KIT;0018208998647;;;;;;66.90;EUR;;0;;;;85258030000
Digital compact cameras;112870;Canon PowerShot G3X;Canon;0106C002;4549292034615;;;;;;684.51;EUR;899.00;0;;;;85258030000
Digital compact cameras;115460;Canon PowerShot SX530 HS;Canon;SX530;4549292017137;;;;;;232.26;EUR;349.00;> 90;;;;85258030000
Digital compact cameras;116790;Panasonic Lumix DMC-FT5 camouflage;Panasonic;DMC-FT5EG9-Z;5025232832996;;;;;;220.73;EUR;399.00;0;;;;85258030000
Digital compact cameras;117644;Canon IXUS 275 HS black;Canon;0156C001;;;;;;;138.78;EUR;;0;;;;85258030000
Digital compact cameras;118302;Sony DSC-RX10 Mark II;Sony;DSCRX10M2.CE;4548736018969;;;;;;1194.59;EUR;1599.00;0;;;;85258030000
Digital compact cameras;118309;Sony DSC-RX100 Mark IV;Sony;DSCRX100M4.CE3;4548736017092;;;;;;858.32;EUR;1149.00;0;;;;85258030000
Digital compact cameras;118456;Sigma dp0 Quattro + LCD Viewfinder Kit;Sigma;CD0900;0085126931681;;;;;;777.94;EUR;1099.00;0;;;;85258030000
Digital compact cameras;398643;Rollei Compactline 52 pink;Rollei;10021;4048805100217;;;;;;23.12;EUR;59.99;> 40;;;;85258030000
Digital compact cameras;398664;Rollei Compactline 52 silver;Rollei;10018;4048805100187;;;;;;24.04;EUR;59.99;> 40;;;;85258030000
Digital compact cameras;398671;Rollei Compactline 52 black;Rollei;10017;4048805100170;;;;;;24.04;EUR;59.99;> 200;;;;85258030000
Digital compact cameras;475517;Rollei Compactline 52 red;Rollei;10019;4048805100194;;;;;;24.04;EUR;59.99;> 100;;;;85258030000
Digital compact cameras;480627;Rollei Sportsline 60 blue;Rollei;10028;4048805100286;;;;;;35.81;EUR;69.95;> 20;;;;85258030000
Digital compact cameras;480641;Rollei Sportsline 60 pink;Rollei;10029;4048805100293;;;;;;35.81;EUR;69.95;> 50;;;;85258030000
Digital compact cameras;480655;Rollei Sportsline 60 yellow;Rollei;10030;4048805100309;;;;;;32.33;EUR;69.95;0;;;;85258030000
Digital compact cameras;480662;Rollei Sportsline 60 green;Rollei;10031;4048805100316;;;;;;32.33;EUR;69.95;0;;;;85258030000
Digital compact cameras;592298;EasyPix KiddyPix;Easypix;10007;4260041682696;;;;;;28.84;EUR;59.90;> 10;;;;85258030000
Digital compact cameras;620893;Sigma DP2 Merrill;Sigma;C78900;0085126929121;;;;;;305.14;EUR;1099.00;> 90;;;;85258030000
Digital compact cameras;624022;Panasonic Lumix DMC-LX7 black;Panasonic;DMC-LX7EG-K;5025232681655;;;;;;248.27;EUR;529.00;> 10;;;;85258030000
Digital compact cameras;634263;Panasonic Lumix DMC-FZ200 black;Panasonic;DMC-FZ200EG-K;5025232683680;5025232771523;;;;;283.01;EUR;599.00;9;;;;85258030000
Digital compact cameras;639758;Sony DSC-RX1;Sony;DSCRX1;4905524919417;;;;;;2270.50;EUR;3099.00;0;;;;85258030000
Digital compact cameras;672168;Panasonic Lumix DMC-FT5 orange;Panasonic;DMC-FT5EG9-D;5025232724949;5025232793891;;;;;220.73;EUR;369.00;> 10;;;;85258030000
Digital compact cameras;672175;Panasonic Lumix DMC-FT5 aktive-blue;Panasonic;DMC-FT5EG9-A;5025232724932;5025232793877;;;;;220.73;EUR;369.00;> 10;;;;85258030000
Digital compact cameras;675815;Fujifilm FinePix HS50EXR;Fujifilm;4004862;4547410230581;;;;;;245.58;EUR;499.00;> 300;;;;85258030000
Digital compact cameras;677082;Sony DSC-TX30D orange;Sony;DSCTX30D.CE3;4905524939316;;;;;;194.03;EUR;279.00;7;;;;85258030000
Digital compact cameras;677089;Sony DSC-TX30B black;Sony;DSCTX30B.CE3;4905524939170;;;;;;194.03;EUR;279.00;5;;;;85258030000
Digital compact cameras;677096;Sony DSC-TX30L blue;Sony;DSCTX30L.CE3;4905524939286;;;;;;194.03;EUR;279.00;9;;;;85258030000
Digital compact cameras;698677;Panasonic Lumix DMC-LF1 black;Panasonic;DMC-LF1EG-K;5025232739004;;;;;;213.04;EUR;449.00;0;;;;85258030000
Digital compact cameras;698684;Panasonic Lumix DMC-LF1 white;Panasonic;DMC-LF1EG-W;5025232739011;;;;;;213.04;EUR;449.00;4;;;;85258030000
Digital compact cameras;703955;Ricoh GR black;Ricoh;175744;4961311883637;;;;;;450.70;EUR;749.00;> 50;;;;85258030000
Digital compact cameras;709926;Panasonic Lumix DMC-LF1 black;Panasonic;DMC-LF1EG-K;5025232739004;;;;;;213.45;EUR;449.00;2;;;;85258030000
Digital compact cameras;711970;Rollei Compactline 83 black;Rollei;10837;4048805108374;;;;;;32.23;EUR;69.99;> 30;;;;85258030000
Digital compact cameras;711977;Rollei Compactline 83 silver;Rollei;10838;4048805108381;;;;;;32.23;EUR;69.99;3;;;;85258030000
Digital compact cameras;711984;Rollei Compactline 83 pink;Rollei;10839;4048805108398;;;;;;32.23;EUR;69.99;> 10;;;;85258030000
Digital compact cameras;711991;Rollei Compactline 83 red;Rollei;10840;4048805108404;;;;;;32.23;EUR;69.99;0;;;;85258030000
Digital compact cameras;713608;Sony DSC-RX1R;Sony;DSCRX1R.CE3;4905524948622;;;;;;2313.53;EUR;3100.00;0;;;;85258030000
Digital compact cameras;715288;Panasonic Lumix DMC-FZ72 black;Panasonic;DMC-FZ72EG-K;5025232760503;;;;;;195.08;EUR;399.00;0;;;;85258030000
Digital compact cameras;722778;Canon PowerShot G16;Canon;8406B011;4960999990798;8714574610238;;;;;304.12;EUR;499.00;0;;;;85258030000
Digital compact cameras;723632;Canon PowerShot S120;Canon;8407B011;4960999989266;8714574610276;;;;;228.83;EUR;369.00;> 10;;;;85258030
