article group;article group name;item number;article description;supplier;supplier's item number;EAN number 1;EAN number 2;EAN number 3;EAN number 4;EAN number 5;EAN number 6;retail price;availability (tendency);mark new prices;price changes;deleted items;kits;partner programme
BDB;Instant cameras;103154;Fujifilm Instax Mini Hello Kitty Set;Fujifilm;70100118555;4260010852693;;;;;;73.42;available;;;;0;
BDB;Instant cameras;330113;Fujifilm Instax 210;Fujifilm;15952363;4547410093988;4547410095104;;;;;54.72;awaiting;;;;0;
BDB;Instant cameras;523187;Fujifilm Instax Mini 50S piano black;Fujifilm;16102240;4547410132847;;;;;;88.92;available;;;;0;
BDB;Instant cameras;596099;Fujifilm Instax Mini 25;Fujifilm;15953812;4547410096828;4547410206654;;;;;63.51;available;;;;0;
BDB;Instant cameras;643895;Fujifilm Instax Mini 25 Set;Fujifilm;70100105329;4260010852167;;;;;;68.50;available;;;;0;
BDB;Instant cameras;643902;Fujifilm Instax Mini 50S Piano Black Set;Fujifilm;70100105331;4260010852174;;;;;;93.91;available;;;;0;
BDB;Instant cameras;695289;Fujifilm Instax Mini 8 white;Fujifilm;16427688;4547410224443;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;695303;Fujifilm Instax Mini 8 black;Fujifilm;16427690;4547410224467;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;695310;Fujifilm Instax Mini 8 pink;Fujifilm;16427717;4547410224474;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;695324;Fujifilm Instax Mini 8 blue;Fujifilm;16427729;4547410224481;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;695338;Fujifilm Instax Mini 8 yellow;Fujifilm;16427743;4547410224498;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;695359;Fujifilm Instax Mini 8 Set white;Fujifilm;70100106463;4260010852198;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;695373;Fujifilm Instax Mini 8 Set black;Fujifilm;70100106464;4260010852181;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;695380;Fujifilm Instax Mini 8 Set pink;Fujifilm;70100106465;4260010852204;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;695387;Fujifilm Instax Mini 8 Set blue;Fujifilm;70100106466;4260010852211;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;695394;Fujifilm Instax Mini 8 Set yellow;Fujifilm;70100106467;4260010852228;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;739347;Fujifilm Instax Mini 90 Neo Classic;Fujifilm;16404583;4547410260649;;;;;;102.66;available;;;;0;
BDB;Instant cameras;840203;Fujifilm Instax Wide 300;Fujifilm;16445795;4547410291735;;;;;;90.62;available;;;;0;
BDB;Instant cameras;849534;Fujifilm Instax Mini 90 brown Neo Classic;Fujifilm;16423981;4547410269321;;;;;;102.66;available;;;;0;
BDB;Instant cameras;849541;Fujifilm Instax Mini 8 rasperry;Fujifilm;16443838;4547410290462;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;849548;Fujifilm Instax Mini 8 grape;Fujifilm;16443840;4547410290479;;;;;;51.30;awaiting;;;;0;
BDB;Instant cameras;849555;Fujifilm Instax Mini 8 Set rasperry;Fujifilm;70100114777;4260010852365;;;;;;56.34;awaiting;;;;0;
BDB;Instant cameras;849562;Fujifilm Instax Mini 8 Set grape;Fujifilm;70100114776;4260010852372;;;;;;56.34;awaiting;;;;0;
BDE;Digital compact cameras;100214;Sony DSC-WX500 schwarz;Sony;DSCWX500B.CE3;4548736014138;;;;;;298.44;awaiting;;;;0;
BDE;Digital compact cameras;100221;Sony DSC-WX500 rot;Sony;DSCWX500R.CE3;4548736014275;;;;;;298.44;awaiting;;;;0;
BDE;Digital compact cameras;100228;Sony DSC-WX500 weiß;Sony;DSCWX500W.CE3;4548736014183;;;;;;298.44;awaiting;;;;0;
BDE;Digital compact cameras;100235;Sony DSC-HX90;Sony;DSCHX90B.CE3;4548736014299;;;;;;336.26;awaiting;;;;0;
BDE;Digital compact cameras;100242;Sony DSC-HX90V;Sony;DSCHX90VB.CE3;4548736014367;;;;;;351.06;awaiting;;;;0;
BDE;Digital compact cameras;101432;Easypix W1400 active blue;Easypix;;4260041684713;;;;;;48.24;onorder;;;;0;
BDE;Digital compact cameras;101572;Panasonic Lumix DMC-TZ57 schwarz;Panasonic;DMC-TZ57EG-K;5025232819164;;;;;;174.33;available;;;;0;
BDE;Digital compact cameras;101579;Panasonic Lumix DMC-TZ57 weiß;Panasonic;DMC-TZ57EG-W;5025232819225;;;;;;174.33;available;;;;0;
BDE;Digital compact cameras;104134;Sigma DP2 Merrill + Sigma SC-11 Soft Camera Case;Sigma;C78900/C79900;;;;;;;319.73;available;;;;1;SIG-PPG
BDE;Digital compact cameras;106976;Ricoh WG-30 ebony black + schwimmender Gurt gelb;Ricoh;;;;;;;;171.60;available;;;;1;
BDE;Digital compact cameras;106983;Ricoh WG-30 vermilion red + schwimmender Gurt gelb;Ricoh;;;;;;;;171.60;available;;;;1;
BDE;Digital compact cameras;106990;Ricoh WG-30 WiFi carbon grey + Neoprentasche schwarz;Ricoh;;;;;;;;188.34;available;;;;1;
BDE;Digital compact cameras;107004;Ricoh WG-30 WiFi flame orange + Neoprentasche schwarz;Ricoh;;;;;;;;188.34;available;;;;1;
BDE;Digital compact cameras;398643;Rollei Compactline 52 pink;Rollei;10021;4048805100217;;;;;;23.12;available;;;;0;
BDE;Digital compact cameras;398664;Rollei Compactline 52 silver;Rollei;10018;4048805100187;;;;;;23.12;available;;;;0;
BDE;Digital compact cameras;398671;Rollei Compactline 52 black;Rollei;10017;4048805100170;;;;;;23.12;available;;;;0;
BDE;Digital compact cameras;475517;Rollei Compactline 52 red;Rollei;10019;4048805100194;;;;;;23.12;available;;;;0;
BDE;Digital compact cameras;480627;Rollei Sportsline 60 blue;Rollei;10028;4048805100286;;;;;;32.33;available;;;;0;
BDE;Digital compact cameras;480641;Rollei Sportsline 60 pink;Rollei;10029;4048805100293;;;;;;35.81;onorder;;;;0;
BDE;Digital compact cameras;480655;Rollei Sportsline 60 yellow;Rollei;10030;4048805100309;;;;;;32.33;available;;;;0;
BDE;Digital compact cameras;480662;Rollei Sportsline 60 green;Rollei;10031;4048805100316;;;;;;35.81;available;;;;0;
BDE;Digital compact cameras;592298;EasyPix KiddyPix;Easypix;10007;4260041682696;;;;;;28.84;available;;;;0;
BDE;Digital compact cameras;620893;Sigma DP2 Merrill;Sigma;C78900;0085126929121;;;;;;305.14;available;;;;0;SIG-PPG
BDE;Digital compact cameras;624015;Panasonic Lumix DMC-FZ200 black;Panasonic;DMC-FZ200EG-K;5025232683680;5025232771523;;;;;296.80;available;;;;0;
BDE;Digital compact cameras;624022;Panasonic Lumix DMC-LX7 black;Panasonic;DMC-LX7EG-K;5025232681655;;;;;;263.44;available;;;;0;
BDE;Digital compact cameras;634263;Panasonic Lumix DMC-FZ200 black;Panasonic;DMC-FZ200EG-K;5025232683680;5025232771523;;;;;298.08;awaiting;;;;0;
BDE;Digital compact cameras;639758;Sony DSC-RX1;Sony;DSCRX1;4905524919417;;;;;;2270.50;available;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;675815;Fujifilm FinePix HS50EXR;Fujifilm;4004862;4547410230581;;;;;;245.58;available;;;;0;
BDE;Digital compact cameras;677075;Sony DSC-HX300;Sony;DSCHX300B.CE3;4905524936711;;;;;;263.09;awaiting;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;677082;Sony DSC-TX30D orange;Sony;DSCTX30D.CE3;4905524939316;;;;;;194.03;awaiting;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;677089;Sony DSC-TX30B black;Sony;DSCTX30B.CE3;4905524939170;;;;;;194.03;available;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;677096;Sony DSC-TX30L blue;Sony;DSCTX30L.CE3;4905524939286;;;;;;194.03;awaiting;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;696262;Panasonic Lumix DMC-FT5 orange;Panasonic;DMC-FT5EG-D;5025232724949;5025232793891;;;;;208.27;onorder;;;;0;
BDE;Digital compact cameras;696269;Panasonic Lumix DMC-FT5 active blue;Panasonic;DMC-FT5EG-A;5025232724932;5025232793877;;;;;208.27;available;;;;0;
BDE;Digital compact cameras;698677;Panasonic Lumix DMC-LF1 black;Panasonic;DMC-LF1EG-K;5025232739004;;;;;;228.20;onorder;;;;0;
BDE;Digital compact cameras;698684;Panasonic Lumix DMC-LF1 white;Panasonic;DMC-LF1EG-W;5025232739011;;;;;;228.20;awaiting;;;;0;
BDE;Digital compact cameras;703955;Ricoh GR black;Ricoh;175744;4961311883637;;;;;;496.53;available;;;;0;
BDE;Digital compact cameras;711970;Rollei Compactline 83 black;Rollei;10837;4048805108374;;;;;;32.23;available;;;;0;
BDE;Digital compact cameras;711977;Rollei Compactline 83 silver;Rollei;10838;4048805108381;;;;;;32.23;available;;;;0;
BDE;Digital compact cameras;711984;Rollei Compactline 83 pink;Rollei;10839;4048805108398;;;;;;32.23;available;;;;0;
BDE;Digital compact cameras;711991;Rollei Compactline 83 red;Rollei;10840;4048805108404;;;;;;32.23;available;;;;0;
BDE;Digital compact cameras;713608;Sony DSC-RX1R;Sony;DSCRX1R.CE3;4905524948622;;;;;;2313.53;onorder;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;713615;Sony DSC-RX100 II;Sony;DSCRX100M2.CE3;4905524948684;;;;;;485.07;available;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;722778;Canon PowerShot G16;Canon;8406B011;4960999990798;8714574610238;;;;;304.12;awaiting;;;;0;
BDE;Digital compact cameras;723632;Canon PowerShot S120;Canon;8407B011;4960999989266;8714574610276;;;;;228.83;available;;;;0;
BDE;Digital compact cameras;727552;Panasonic Lumix DMC-FT5 silver;Panasonic;DMC-FT5EG-S;5025232724918;5025232793839;;;;;208.27;onorder;;;;0;
BDE;Digital compact cameras;730751;Sony DSC-QX10B black;Sony;DSCQX10B.CE7;4905524951233;;;;;;138.95;onorder;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;730758;Sony DSC-QX10W white;Sony;DSCQX70W.CE7;4905524951240;;;;;;138.95;awaiting;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;730765;Sony DSC-QX100;Sony;DSCQX100B.CE7;4905524951264;;;;;;311.60;onorder;;;;0;Sony Europe Retail Partner Programm
BDE;Digital compact cameras;732291;Panasonic Lumix DMC-FZ72 black;Panasonic;DMC-FZ72EG-K;5025232760503;;;;;;209.82;onorder;;;;0;
BDE;Digital compact cameras;766612;Sony DSC-W810B black;Sony;DSCW810B.CE3;4905524971859;;;;;;56.74;available;;;;0;
BDE;Digital compact cameras;766626;Sony DSC-W810P pink;Sony;DSCW810P.CE3;4905524972061;;;;;;62.71;available;;;;0;
BDE;Digital compact cameras;766633;Sony DSC-W810S silver;Sony;DSCW810S.CE3;4905524971927;;;;;;62.71;available;;;;0;
