model;	sku;ean;mpn;	name;description;category;quantity;stock_status;status;image;additional_image;manufacturer;	price;	tax_class;weight 
UL90038885; ;90038885;90038885;Polar RCX5 Run Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90038885.jpg;;;315.55;Κλάση Ι (23% ~ 16%);385.0kg;
UL90038892; ;90038892;90038892;Polar RCX5 Bike Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90038892.jpg;;;282.77;Κλάση Ι (23% ~ 16%);345.0kg;
UL90037103; ;90037103;90037103;Polar FT7 HR Black/Red;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90037103.jpg;;;89.34;Κλάση Ι (23% ~ 16%);109.0kg;
UL90053993; ;90053993;90053993;Polar FT7 HR Lilac/Pink;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90053993.jpg;;;89.34;Κλάση Ι (23% ~ 16%);109.0kg;
UL90051052; ;90051052;90051052;Polar FT7 HR Black/Silver;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051052.jpg;;;89.34;Κλάση Ι (23% ~ 16%);109.0kg;
UL90036750; ;90036750;90036750;Polar FT4 HR Silver/Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90036750.jpg;;;81.14;Κλάση Ι (23% ~ 16%);99.0kg;
UL90051033; ;90051033;90051033;Polar FT4 HR Purple/Pink;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051033.jpg;;;81.14;Κλάση Ι (23% ~ 16%);99.0kg;
UL90053987; ;90053987;90053987;Polar FT4 HR Blue/Orange;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90053987.jpg;;;81.14;Κλάση Ι (23% ~ 16%);99.0kg;
UL90051036; ;90051036;90051036;Polar FT4 HR Blue/Blue;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051036.jpg;;;81.14;Κλάση Ι (23% ~ 16%);99.0kg;
UL90051030; ;90051030;90051030;Polar FT4 HR Green/Green;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90051030.jpg;;;81.14;Κλάση Ι (23% ~ 16%);99.0kg;
UL90037559; ;90037559;90037559;Polar FT2 HR Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90037559.jpg;;;56.55;Κλάση Ι (23% ~ 16%);69.0kg;
UL90048839; ;90048839;90048839;Polar FT2 HR Blue;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90048839.jpg;;;56.55;Κλάση Ι (23% ~ 16%);69.0kg;
UL90037558; ;90037558;90037558;Polar FT1 HR Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90037558.jpg;;;48.36;Κλάση Ι (23% ~ 16%);59.0kg;
UL90042852; ;90042852;90042852;Polar FT1 HR Turquoise;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90042852.jpg;;;48.36;Κλάση Ι (23% ~ 16%);59.0kg;
UL90046244; ;90046244;90046244;Polar RC3 GPS Βike;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90046244.jpg;;;258.18;Κλάση Ι (23% ~ 16%);315.0kg;
UL90046245; ;90046245;90046245;Polar RC3 GPS Black Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90046245.jpg;;;258.18;Κλάση Ι (23% ~ 16%);315.0kg;
UL90050618; ;90050618;90050618;Polar RC3 GPS Blue Heart Rate;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/UL90050618.jpg;;;258.18;Κλάση Ι (23% ~ 16%);315.0kg;
ULPOLRCX3WH; ;POLRCX3WH;POLRCX3WH;Polar RCX3 White;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/ULPOLRCX3WH.jpg;;;151.63;Κλάση Ι (23% ~ 16%);185.0kg;
ULPOLRCX3BL; ;POLRCX3BL;POLRCX3BL;Polar RCX3 Black;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/ULPOLRCX3BL.jpg;;;151.63;Κλάση Ι (23% ~ 16%);185.0kg;
ULPOLRCX3WHRU; ;POLRCX3WHRU;POLRCX3WHRU;Polar RCX3 White Bike;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/ULPOLRCX3WHRU.jpg;;;176.22;Κλάση Ι (23% ~ 16%);215.0kg;
ULPOLRCX3BLBI; ;POLRCX3BLBI;POLRCX3BLBI;Polar RCX3 Black Bike;;GADGETS///WATCH;28.0;2 - 3 Ημέρες;1;data/csvpic/ULPOLRCX3BLBI.jpg;;;176.22;Κλάση Ι (23% ~ 16%);215.0kg;
