model;	sku;ean;mpn;	name;description;category;quantity;stock_status;status;image;additional_image;manufacturer;	price;	tax_class;weight 
GG-NFMD3-RP-AIRSR2G-SLV; ;;MD3-RP-AIRSR2G-SLV;NIfty - MiniDrive for Macbook Air 13" Silver;To MINIDRIVE είναι μια λύση αποθήκευσης που παρέχει απλά και χωρίς να καταλαμβάνει πρόσθετο χώρο επιπλέον μνήμη για το MacBooks σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;1;data/csvpic/GG-NFMD3-RP-AIRSR2G-SLV.jpg;;nifty;32.44;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFMD3-RP-PROSR2G-SLV; ;;MD3-RP-PROSR2G-SLV;;To MINIDRIVE είναι μια λύση αποθήκευσης που παρέχει απλά και χωρίς να καταλαμβάνει πρόσθετο χώρο επιπλέον μνήμη για το MacBooks σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;1;data/csvpic/GG-NFMD3-RP-PROSR2G-SLV.jpg;;nifty;32.44;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFMD3-RP-R13SR2G; ;;MD3-RP-R13SR2G;Nifty - MiniDrive RETINA 13";To MINIDRIVE είναι μια λύση αποθήκευσης που παρέχει απλά και χωρίς να καταλαμβάνει πρόσθετο χώρο επιπλέον μνήμη για το MacBooks σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;1;data/csvpic/GG-NFMD3-RP-R13SR2G.jpg;;nifty;32.44;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFMD3-RP-R13SR2G-SLV; ;;MD3-RP-R13SR2G-SLV;Nifty - MiniDrive RETINA 13" - SILVER;To MINIDRIVE είναι μια λύση αποθήκευσης που παρέχει απλά και χωρίς να καταλαμβάνει πρόσθετο χώρο επιπλέον μνήμη για το MacBooks σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;1;data/csvpic/GG-NFMD3-RP-R13SR2G-SLV.jpg;;nifty;32.44;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-AIRBLUE; ;;KANEX-AIRBLUE;Kanex - AirBlue Portable Bluetooth Music for your Speakers;Ο Kanex Airblue ™ είναι ένας φορητός  Bluetooth ® δέκτης μουσικής που σας δίνει τη δυνατότητα ασύρματα να αναπαράγετε να ακούτε και να ελέγχετε από το iPod Touch iPhone iPad ή την Android συσκευή σας την αγαπημένη σας μουσική μέσω των στερεοφωνικών ηχείων του σπιτιού σας του αυτοκινήτου σας ή οπουδήποτε αλλού αυτά υπάρχουν. Πάρτε το Airblue ™ οπουδήποτε και αν πάτε. Αντιστοιχίσετε την Bluetooth ® συσκευή ήχου σας σε λίγα μόνο δευτερόλεπτα για να αρχίσει η ροή σε οποιαδήποτε ηχεία στο σπίτι σας ή στα ηχεία του αυτοκινήτου σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-AIRBLUE.jpg;;Kanex;39.84;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-ATVPRO; ;;KANEX-ATVPRO;Kanex - ATV Pro™ AirPlay® Mirroring for VGA Projector;Το Kanex ATV Pro επιτρέπει σε ένα προβολέα VGA να χρησιμοποιήσει το Apple AirPlay mirroring από ένα iPad σε Apple TV εξαλείφοντας έτσι την ανάγκη για ακριβό εξοπλισμό προβολής HDMI. Το ATV Pro βελτιώνει την παρουσίαση και την εκπαιδευτική πείρα iLearning με τη γεφύρωση του χάσματος μεταξύ του σημερινού εξοπλισμού και του μοντέρνου. Δεν υπάρχει ανάγκη για εξωτερική τροφοδοσία ή αντάπτορα. Το ATV Pro αντλεί δύναμη απευθείας από την Apple TV σας ώστε να μπορείτε να συνδέσετε απλά και να παίξουν. Το ATV Pro διαθέτει επίσης ένα ενσωματωμένο βύσμα ήχου 3.5mm ώστε να μπορείτε να παίξετε ταινίες και μουσική κατά τη διάρκεια της παρουσίασής σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-ATVPRO.jpg;;Kanex;47.97;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-ATVPRO; ;;KANEX-ATVPRO;Kanex - ATV Pro™ AirPlay® Mirroring for VGA Projector;Το Kanex ATV Pro επιτρέπει σε ένα προβολέα VGA να χρησιμοποιήσει το Apple AirPlay mirroring από ένα iPad σε Apple TV εξαλείφοντας έτσι την ανάγκη για ακριβό εξοπλισμό προβολής HDMI. Το ATV Pro βελτιώνει την παρουσίαση και την εκπαιδευτική πείρα iLearning με τη γεφύρωση του χάσματος μεταξύ του σημερινού εξοπλισμού και του μοντέρνου. Δεν υπάρχει ανάγκη για εξωτερική τροφοδοσία ή αντάπτορα. Το ATV Pro αντλεί δύναμη απευθείας από την Apple TV σας ώστε να μπορείτε να συνδέσετε απλά και να παίξουν. Το ATV Pro διαθέτει επίσης ένα ενσωματωμένο βύσμα ήχου 3.5mm ώστε να μπορείτε να παίξετε ταινίες και μουσική κατά τη διάρκεια της παρουσίασής σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-ATVPRO.jpg;;Kanex;47.97;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-SYDNEE; ;;KANEX-SYDNEE;Kanex - Sydnee 4-Port Charging Station for Mobile Devices;Με το Sydnee στο γραφείο σας μπορείτε να επαναφορτίσετε μέχρι και 4 smartphones ταμπλέτες e-readers ή MP3 players ταυτόχρονα. Κάθε μεμονωμένη θύρα USB αντλεί 2.1-amps/10W  για γρήγορη φόρτιση. Χτισμένο με απλότητα και στυλ το Sydnee μπορεί να χρησιμοποιηθεί οπουδήποτε. Από τα σχολεία ή τα καταστήματα λιανικής πώλησης ως τα εταιρικά γραφεία τις αίθουσες συσκέψεων και τις εγκαταστάσεις υγειονομικής περίθαλψης απλά συνδέστε το στον τοίχο για να αρχίσει η φόρτιση των συσκευών σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-SYDNEE.jpg;;Kanex;80.49;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-C247DL; ;;KANEX-C247DL;Kanex - C247DL - Dual DVI to Apple Cinema Display 27-Inch;Ζήστε μια θαυμάσια οπτική εμπειρία με ανάλυση 2560x1440 στην Apple LED Cinema 27-ιντσών οθόνη σας. Πέρα από απλά γραφικά και multi-media βρίσκεται τις ευκρινέστερες εικόνες ζωηρά χρώματα και ζωή-όπως το βίντεο. Ξεσκονίστε το παλιό Mac. Η C247DL είναι εδώ για να αναζωογονήσουν την εμπειρία σας με το Mac μετατρέποντας ενεργά το σήμα DVI σε οξεία ευκρινή ανάλυση 2560x1600. Τώρα μπορείτε να συνδέσετε το από το 2006 - ως τις αρχές του 2008 MacBook Pro σας το από το 2005 -  ως τα μέσα του 2007  Mac Mini με το νέο Apple Cinema Display με Mini DisplayPort είσοδο. Επειδή το DVI δεν υποστηρίζει ήχο η μεταφορά του  ήχου γίνεται με το C247DL μέσω USB στα ενσωματωμένα ηχεία της Apple LED Cinema οθόνης. Τώρα μπορείτε να παρακολουθήσετε και να ακούσετε τις αγαπημένες σας ταινίες τραγούδια ή απλά να κάνετε βίντεο-chat με τους φίλους και την οικογένεια σας.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-C247DL.jpg;;Kanex;121.14;Κλάση Ι (23% ~ 16%);10.0kg;
GG-NFKANEX-SNAPX; ;;KANEX-SNAPX;Kanex - SnapX Connect 2 Macs to LED Cinema Display;Νικητής του βραβείου MacWorld Best Hardware Καταναλωτή η Kanex SnapX είναι ένα συμπαγές switcher δύο θυρών που έχουν σχεδιαστεί για Apple LED Cinema οθόνες 27 και 24 ιντσών. Τώρα μπορείτε να έχετε τον έλεγχο δύο Macs με το πληκτρολόγιο ή το ποντίκι σας και να απολαμβάνετε  τον πλήρη ήχο. Απλά συνδέστε τις δύο συσκευές στα μίνι καλώδια DisplayPort με USB από την SnapX στους υπολογιστές Mac σας συνδέστε τα καλώδιο της οθόνης στη συσκευή και είστε έτοιμοι. Με την SnapX η μετάβαση από το MacBook Air σας στο Mac mini είναι ένα "snap" μακριά. Εναλλαγή μεταξύ των δύο πηγών πατώντας το κουμπί στο πάνω μέρος κοιτάζοντας την εναλλαγή στο LED φως. Δεν απαιτείται εξωτερική τροφοδοσία για το SnapX.;ΤΗΛΕΦΩΝΙΑ///ΚΙΝΗΤΑ///ACCESSORIES;28.0;2 - 3 Ημέρες;0;data/csvpic/GG-NFKANEX-SNAPX.jpg;;Kanex;56.1;Κλάση Ι (23% ~ 16%);10.0kg;
