Product; Art. No.; Stock; Price
Acc Bracelet LG Watch W150 silver EU;351989;0;250,0000
Acc Bracelet Sony Smart Watch 3 SWR50 NFC white DE;240312;18;135,0000
Acc Cover Samsung Galaxy Note 10.1 2014 Edition Book Cover black;269692;311;19,5000
Acc Cover Samsung Galaxy Note 10.1 2014 Edition Book Cover white;269693;83;19,5000
Acc. Bracelet Motorola Moto 360 black leather EU;310480;11;159,0000
Acc. Bracelet Motorola Moto 360 grey leather EU;310481;9;159,0000
Apple iPad 4 4G 16GB white EU;555807;4;307,5000
Apple iPad 4 4G 32GB black EU;555812;20;329,0000
Apple iPad 4 4G 32GB white EU;555813;13;329,0000
Apple iPad 4 4G 64GB black EU;555805;1;399,5000
Apple iPad 4 WiFi/4G 16GB MD522 black EU;555857;5;307,5000
Apple iPad 4 WiFi/4G 16GB MD525FD/A white DE;555806;7;307,5000
Apple iPad Air2 4G 128GB silver DE;555977;0;619,5000
Apple iPad Air2 4G 128GB space gray DE;555976;0;619,5000
Apple iPad Air2 4G 16GB silver EU;555981;0;435,0000
Apple iPad Air2 4G 16GB space gray EU;555980;0;435,0000
Apple iPad Air2 4G 64GB gold DE;555975;0;539,5000
Apple iPad Air2 4G 64GB silver DE;555974;0;539,5000
Apple iPad Air2 4G 64GB space gray DE;555973;0;539,5000
Apple iPad Air2 WiFi 16GB gold EU;556002;0;379,0000
Apple iPad Air2 WiFi 16GB silver EU;556001;16;379,0000
Apple iPad Air2 WiFi 64GB gold EU;556005;0;459,0000
Apple iPad Air2 WiFi 64GB silver EU;556004;0;459,0000
Apple iPad Air2 WiFi 64GB space gray EU;556003;0;459,0000
Apple iPad Mini 2 WiFi / 3G 128GB space gray DE;555922;60;429,5000
Apple iPad Mini 2 WiFi 128GB silver white DE;555925;11;345,0000
Apple iPad Mini 2 WiFi 128GB space gray DE;555924;12;345,0000
Apple iPad Mini3 WiFi 128GB space gray/black DE;555956;15;429,5000
Apple iPhone 4S 8GB white EU;555715;1000;196,0000
Apple iPhone 5c 4G 8GB blue DE;296100;0;267,5000
Apple iPhone 5c 4G 8GB white DE;296101;0;267,5000
Apple iPhone 5s 4G 16GB gold DE;296051;126;449,0000
Apple iPhone 5s 4G 16GB gold EU;396053;18;459,0000
Apple iPhone 5s 4G 16GB space gray DE;296050;1;449,0000
Apple iPhone 5s 4G 16GB space gray EU;396059;77;449,0000
Apple iPhone 6 4G 128GB silver EU;396114;209;719,0000
Apple iPhone 6 4G 16GB gold DE;296112;218;559,0000
Apple iPhone 6 4G 16GB silver DE;296111;83;559,0000
Apple iPhone 6 4G 16GB silver EU;396111;192;559,0000
Apple iPhone 6 4G 64GB gold EU;396118;3;659,0000
Apple iPhone 6 4G 64GB silver DE;296117;94;649,0000
Apple iPhone 6 4G 64GB silver EU;396117;0;649,0000
Apple iPhone 6 PLUS 4G 16GB gold DE;296121;13;639,0000
Apple iPhone 6 PLUS 4G 16GB silver DE;296120;76;605,0000
Apple iPhone 6 PLUS 4G 16GB space gray DE;296119;200;605,0000
Apple iPhone 6 PLUS 4G 16GB space gray EU;369119;85;605,0000
Apple iPhone 6 PLUS 4G 64GB silver DE;296123;7;725,0000
Ascend Huawei Y625 black EU;389300;29;94,5000
Beafon Classic Line C150 Dual SIM black DE;280426;20;27,5000
Beafon Classic Line C150 Dual SIM blue DE;280427;19;27,5000
Beafon Classic Line C150 Dual SIM white DE;280428;20;27,5000
Beafon Classic Line C250 Dual SIM black DE;280435;13;39,5000
Beafon Classic Line C250 Dual SIM red DE;280436;15;39,5000
Beafon Classic Line C30 DUAL SIM  black DE;280425;23;15,5000
Beafon S33 Senioren black DE;280420;51;22,0000
Beafon SL450 Senioren black-anthrazit DE;280424;10;35,0000
Blackberry 9720 black QWERTY EU;362210;16;109,5000
Blackberry P9982 Porsche Design 4G NFC 64GB titan DE;262230;411;575,0000
Blackberry Q20 classic QWERTY 4G NFC 16GB black EU;362224;0;299,0000
Blackberry Q20 classic QWERTZ 4G NFC 16GB black DE;262224;33;279,5000
Blackberry Q5 QWERTZ 4G NFC 8GB pink DE;262192;97;109,5000
Blackberry Z30 4G NFC 16GB black DE;262200;0;249,0000
Blackberry Z30 4G NFC 16GB white DE;262202;3;249,0000
Cat B100 black EU;394011;45;99,0000
Cat B15Q dual black EU;394020;0;235,0000
Cat B25 dual black EU;394030;0;47,0000
Cat B30 dual black EU;394031;0;72,5000
Cat S50 4G NFC black EU;394012;0;319,5000
Charger 220V Micro USB for various Phones BULK;199600;290;1,9500
Charger 220V USB Adapter black BULK;199200;330;1,9500
Charger 220V USB Adapter white BULK;199201;418;1,9500
Charger BULK 12/24V for various Phones Micro USB;199100;98;1,2400
Charger BULK 12/24V USB Double Adapter white;199140;188;2,6500
Doro PhoneEasy 508 white inkl. Ladeschale DE;285248;6;27,5000
Doro Primo 413 black DE;285242;5;58,0000
HTC Desire 310 blue EU;368852;78;74,5000
HTC Desire 516 DUAL white EU;368921;13;98,5000
HTC Desire 820 DUAL 16GB milkyway EU;368961;0;246,0000
HTC Desire 820 DUAL 16GB santorini EU;368960;0;246,0000
HTC Desire X black Vodafone DE;263333;50;93,5000
HTC One M9 4G NFC 32GB amber gold EU;363392;38;519,0000
HTC One M9 4G NFC 32GB gunmetal gray EU;363390;0;519,0000
HTC One M9 4G NFC 32GB silver EU;363391;5;515,0000
HTC One Mini 2 4G NFC 16GB glacial silver EU;368891;47;245,0000
Huawei Ascend G620 4G NFC 8GB black EU;389160;43;105,0000
Huawei Ascend G620 4G NFC 8GB white EU;389161;52;105,0000
Huawei Ascend P7 4G 16GB NFC white EU;389101;67;227,5000
Huawei Ascend P7 4G NFC 16GB black EU;389100;17;227,5000
Huawei Ascend P7 4G NFC 16GB pink DE;289102;27;227,5000
Huawei Ascend P7 4G NFC 16GB pink EU;389102;47;227,5000
Huawei Ascend P7 Mini 4G NFC 8GB black T-Mobile DE;289133;0;128,0000
Huawei Ascend Y330 black EU;389080;62;49,5000
Huawei Ascend Y330 Dual black EU;389098;21;49,0000
Huawei Ascend Y330 Dual white EU;389099;30;49,0000
Huawei Ascend Y330 white EU;389081;35;49,5000
Huawei Ascend Y530 black EU;389085;27;69,0000
Huawei Ascend Y540 dual black EU;389103;20;69,5000
Huawei Ascend Y540 dual white EU;389104;7;69,5000
Huawei Ascend Y550 4G black EU;389170;12;79,5000
Huawei Ascend Y550 4G white DE;289171;2;89,5000
Huawei Ascend Y550 4G white EU;389171;16;79,5000
Huawei Ascend Y600 Dual white EU;389221;1;82,5000
Huawei Ascend Y625  white EU;389301;26;94,5000
Huawei MediaPad 10 Link silver (black panel) DE;562014;15;149,0000
Huawei MediaPad M1 4G 8GB white EU;562055;4;179,0000
Huawei MediaPad M1 WIFI 16B gray DE;562064;16;119,0000
Huawei MediaPad T1 16GB silver EU;389193;474;119,5000
Huawei MediaPad X1 7.0 4G 16GB snow white DE;562034;41;229,0000
Huawei P8 4G 16GB titanium grey EU;389107;34;392,0000
Lenovo A8-50 A5500 WiFi 3G yellow EU;510252;4;129,5000
LG D160 L40 black EU;385440;76;45,0000
LG D160 L40 white EU;385441;30;45,0000
LG D280 L65 black EU;385510;27;73,0000
LG D290 L Fino NFC black EU;385610;94;87,0000
LG D290 L Fino NFC white EU;385611;33;87,0000
LG D320 L70 NFC black EU;385450;58;83,0000
LG D320 L70 NFC white EU;385451;0;85,0000
LG D331 L Bello 8GB black EU;385600;40;110,0000
LG D331 L Bello 8GB white EU;385601;23;110,0000
LG D390 F60 4G white EU;385621;111;77,0000
LG D405 L90 8GB black EU;385460;66;107,5000
LG D620 G2 Mini 4G NFC 8GB titan black DE;285490;89;126,0000
LG D722 G3 S 4G 8GB red EU;385045;28;155,0000
LG D722 G3 S 4G NFC 8GB titan EU;385044;0;155,0000
LG D802 G2 4G NFC 16GB black Vodafone DE;273052;29;229,0000
LG D855 G3 4G NFC 16GB shine go Vodafone DE;285539;1;269,0000
LG D855 G3 4G NFC 16GB shine gold EU;385532;150;269,0000
LG D855 G3 4G NFC 16GB silk white EU;385531;260;269,0000
LG D855 G3 4G NFC 16GB titan EU;385530;150;269,0000
LG D855 G3 4G NFC 16GB titan Vodafone DE;285535;18;283,0000
LG D855 G3 4G NFC 32GB titan EU;385550;79;289,0000
LG D955 G Flex 4G 32GB silver Vodafone DE;285391;1;269,0000
LG H815 G4 4G 32GB black leather EU;373067;0;505,0000
LG H815 G4 4G 32GB brown leather EU;373065;0;505,0000
LG H815 G4 4G 32GB ceramic gold EU;370363;6;475,0000
LG H815 G4 4G 32GB metallic grey EU;373062;7;475,0000
LG H815 G4 4G 32GB red leather EU;373064;0;475,0000
LG H955 G Flex2 4G 16GB silver Vodafone DE;285654;105;379,0000
LG Spirit H440 C70 4G 8GB black-gold EU;385680;4;127,0000
LG Spirit H440 C70 4G 8GB black-titan EU;385681;30;127,0000
LG V400 G Pad 7.0 8GB black DE;567100;0;82,0000
MemoryCard microSD Toshiba Class 10 16GB;512054;51;7,7500
MemoryCard microSD Toshiba Class 10 32GB;512055;160;14,9500
MemoryCard microSD Toshiba Class 10 64GB;512056;286;27,0000
Microsoft 215 Dual black DE;226780;43;27,0000
Microsoft 215 Dual black EU;226793;271;27,0000
Microsoft 215 Dual green DE;226782;27;27,0000
Microsoft 215 Dual white EU;226794;89;27,0000
Microsoft 532 Lumia Dual green EU;349006;11;69,5000
Microsoft 532 Lumia Dual white EU;349005;4;69,5000
Microsoft 535 Lumia Dual black EU;356970;1;82,0000
Microsoft 535 Lumia Dual white EU;356971;37;82,0000
Microsoft 535 Lumia white EU;356977;31;79,5000
Microsoft 640 Lumia 4G NFC 8GB matte black EU;326814;0;129,5000
Microsoft 640 Lumia 4G NFC 8GB white EU;326815;2;129,5000
Microsoft 640 Lumia Dual 8GB glossy cyan DE;226812;0;122,5000
Microsoft 640 Lumia Dual 8GB glossy cyan EU;326812;2;122,5000
Microsoft 640 Lumia Dual 8GB matte black DE;226810;0;122,5000
Microsoft 640 Lumia Dual 8GB matte black EU;326810;0;122,5000
Microsoft 640 Lumia Dual 8GB orange EU;326813;0;119,5000
Microsoft 640 Lumia Dual 8GB white DE;226811;0;122,5000
Microsoft 640 Lumia Dual 8GB white EU;326811;9;122,5000
Microsoft 640 Lumia XL Dual NFC 8GB black EU;326837;0;159,0000
Motorola MB526 Defy Plus graphite gray DE;210160;0;56,0000
Motorola XT1021 Moto E black EU;310410;3;68,0000
Motorola XT1039 Moto G 4G 8GB white EU;310401;123;129,5000
Motorola XT1068 Moto G 2nd Generation DUAL 8GB black EU;310424;50;145,0000
Motorola XT1068 Moto G 2nd Generation DUAL 8GB white EU;310425;50;145,0000
Motorola XT1072 Moto G 2nd D 8GB LTE black EU;310482;190;148,0000
Nokia 105 black DE;220140;0;14,5000
Nokia 105 black EU;320140;0;14,5000
Nokia 130 black EU;356955;0;15,2500
Nokia 130 DUAL black EU;356950;0;15,5000
Nokia 220 black DE;256781;71;29,5000
Nokia 220 DUAL black DE;256780;0;29,5000
Nokia 220 DUAL white EU;356781;0;29,5000
Nokia 220 DUAL yellow DE;256784;0;29,5000
Nokia 220 DUAL yellow EU;356784;19;29,5000
Nokia 220 red DE;256782;0;29,5000
Nokia 225 DUAL black DE;256840;0;38,5000
Nokia 225 green DE;256854;0;34,0000
Nokia 225 yellow DE;256853;0;34,0000
Nokia 515 black DE;225590;0;93,0000
Nokia 625 Lumia 4G 8GB black DE;225480;0;81,0000
Nokia 630 Lumia 8GB black EU;356910;10;64,5000
Nokia 630 Lumia 8GB green EU;356913;12;64,5000
Nokia 630 Lumia 8GB orange EU;356912;6;64,5000
Nokia 630 Lumia 8GB white EU;356911;10;64,5000
Nokia 630 Lumia 8GB yellow EU;356914;10;64,5000
Nokia 630 Lumia DUAL green EU;356919;1;67,5000
Nokia 630 Lumia DUAL yellow EU;356917;1;67,5000
Nokia 830 Lumia 4G NFC 16GB black EU;326752;193;192,0000
Nokia 830 Lumia 4G NFC 16GB green EU;326754;31;192,0000
Nokia 830 Lumia 4G NFC 16GB orange EU;326753;1;192,0000
Nokia 830 Lumia 4G NFC 16GB white EU;326751;160;192,0000
Nokia 925 Lumia 4G NFC 16GB gray EU;325344;9;175,0000
Nokia 930 Lumia 4G NFC 32GB black Vodafone DE;256894;65;274,5000
Olympia Touch anthrazit DE;283714;1;35,0000
Olympia Viva Plus Senioren DUAL incl. charging station red DE;283791;11;22,5000
Olympia Vox Colour DUAL incl. charging station black DE;283780;16;19,9900
Samsung  Xcover B550H black DE;259105;50;79,5000
Samsung  Xcover B550H black EU;359105;33;79,5000
Samsung A P550 9.7 16GB black EU;551651;7;269,5000
Samsung A P550 9.7 16GB white EU;551652;0;273,5000
Samsung A300 Galaxy A3 4G NFC 16GB champagne gold EU;369504;2;199,5000
Samsung A300 Galaxy A3 4G NFC 16GB midnight black EU;369500;0;199,5000
Samsung A300 Galaxy A3 4G NFC 16GB pearl white EU;369501;3;197,5000
Samsung A300 Galaxy A3 4G NFC 16GB platinum silver EU;369502;5;197,5000
Samsung A500 Galaxy A5 4G NFC 16GB black T-Mobile EU;370000;0;259,0000
Samsung A500 Galaxy A5 4G NFC 16GB midnight black DE;269990;0;262,0000
Samsung A500 Galaxy A5 4G NFC 16GB midnight black EU;369990;0;262,0000
Samsung A500 Galaxy A5 4G NFC 16GB pearl white DE;269991;0;262,0000
Samsung A500F Galaxy A5 4G NFC 16GB pearl white EU;369991;0;262,0000
Samsung A700 Galaxy A7 4G NFC 16GB champagne gold EU;370082;29;319,5000
Samsung A700 Galaxy A7 4G NFC 16GB pearl white EU;370081;427;319,5000
Samsung C3590 black EU;351942;0;39,5000
Samsung C3590 silver EU;351940;0;39,5000
Samsung C3590 wine red EU;351941;0;39,5000
Samsung E1200 Pusha black EU;351903;4;10,8500
Samsung E1270 black EU;351960;0;15,9900
Samsung G110 Galaxy Pocket 2 black EU;369970;94;44,5000
Samsung G110 Galaxy Pocket 2 white EU;369971;142;44,5000
Samsung G130 Galaxy Young 2 white EU;369786;0;56,5000
Samsung G130 Young 2 white DE;269786;52;56,5000
Samsung G310 Galaxy Ace Style NFC cream white Vodafone EU;369513;0;59,5000
Samsung G310 Galaxy Ace Style NFC dark gray Vodafone EU;369512;0;59,5000
Samsung G355 Galaxy Core 2 DUOS black EU;369800;198;86,5000
Samsung G355 Galaxy Core 2 DUOS white EU;369801;223;86,5000
Samsung G357 Galaxy Ace 4 4G NFC classic white Vodafone EU;369774;0;103,0000
Samsung G388 Galaxy Xcover3 4G NFC 8G dark silver DE;270160;24;177,0000
Samsung G388 Galaxy Xcover3 4G NFC 8G dark silver EU;370160;14;177,0000
Samsung G530 Galaxy Grand Prime 4G 8GB gold EU;369933;0;155,0000
Samsung G530 Galaxy Grand Prime 4G 8GB gray EU;369932;0;155,0000
Samsung G530 Galaxy Grand Prime 4G 8GB white EU;369930;0;155,0000
Samsung G7105 Galaxy Grand 2 4G 8GB black EU;369610;47;173,5000
Samsung G7105 Galaxy Grand 2 4G 8GB white EU;369611;16;173,5000
Samsung G800 Galaxy S5 Mini 16GB DUOS charcoal black EU;369702;25;242,0000
Samsung G800 Galaxy S5 Mini 16GB DUOS gold EU;369704;1;242,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB black blue EU;369726;59;239,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB black EU;369722;147;239,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB black gold EU;369727;102;239,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB black Vodafone DE;269728;0;239,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB white DE;269721;0;239,0000
Samsung G800 Galaxy S5 Mini 4G NFC 16GB white EU;369723;85;239,0000
Samsung G850 Galaxy Alpha 4G NFC 32GB dazzling white EU;369861;0;279,0000
Samsung G850 Galaxy Alpha 4G NFC 32GB scuba blue T-Mobile DE;269858;12;279,0000
Samsung G870 Galaxy S5 Active 4G NFC 16GB dark green EU;369402;0;395,0000
Samsung G900 Galaxy S5 4G NFC 16GB gold EU;369553;50;345,0000
Samsung G900 Galaxy S5 4G NFC 16GB gold Vodafone DE;269559;14;339,0000
Samsung G900 Galaxy S5 4G NFC 16GB white DE;269551;0;345,0000
Samsung G900 Galaxy S5 4G NFC 16GB white EU;369551;115;345,0000
Samsung G900 Galaxy S5 4G NFC 16GB white Vodafone DE;269577;0;339,0000
Samsung G920F Galaxy S6 4G NFC 32GB black saphhire DE;270130;493;489,0000
Samsung G920F Galaxy S6 4G NFC 32GB gold platinum EU;370133;0;529,0000
Samsung G920F Galaxy S6 4G NFC 32GB white pearl DE;270131;348;489,0000
Samsung G920F Galaxy S6 4G NFC 32GB white pearl TIM  EU;370139;1;487,0000
Samsung G920F Galaxy S6 4G NFC 64GB black saphhire EU;370134;29;559,0000
Samsung G925 Galaxy S6 EDGE 4G NFC 32GB black sapphire EU;370140;30;659,0000
Samsung G925 Galaxy S6 EDGE 4G NFC 64GB black sapphire EU;370144;18;745,0000
Samsung G925 Galaxy S6 EDGE 4G NFC 64GB white pearl EU;370145;27;739,0000
Samsung Galaxy G357 Ace 4 4G NFC iris charcoal Vodafone EU;369773;0;103,0000
Samsung Galaxy i9506 S4 LTE+ 32GB white frost EU;354033;159;260,0000
Samsung Galaxy J100 J1 blue EU;370112;80;83,0000
Samsung Galaxy Tab3 10.1 P5210 WiFi 16GB black EU;551352;1000;169,0000
Samsung Galaxy Tab3 7.0 T1110 Lite 8GB black EU;551417;54;115,0000
Samsung Galaxy Tab4 10.1 T530 WiFi 16GB black DE;551450;1000;172,5000
Samsung Galaxy Tab4 10.1 T530 WiFi 16GB white DE;551451;1000;190,0000
Samsung i8200 Galaxy S3 Mini Value Edition 8GB blue EU;369530;0;95,0000
Samsung i8200 Galaxy S3 Mini Value Edition 8GB white EU;369541;227;95,0000
Samsung i9060i Galaxy Grand Plus black EU;369648;0;117,0000
Samsung i9060i Galaxy Grand Plus white EU;369649;49;117,0000
Samsung i9060i Grand Neo Plus Dual SIM black EU;369647;0;119,0000
Samsung i9060i Grand Neo Plus Dual SIM white EU;369646;0;119,0000
Samsung i9195 Galaxy S4 Mini 4G NFC 8GB Black Edition deep black EU;353914;147;154,0000
Samsung i9195 Galaxy S4 Mini 4G NFC 8GB black mist DE;253912;0;159,0000
Samsung i9195 Galaxy S4 Mini 4G NFC 8GB white DE;253911;0;159,0000
Samsung i9195 Galaxy S4 Mini 4G NFC 8GB white EU;353911;48;154,0000
Samsung i9195i Galaxy S4 Mini 4G NFC 8GB black Edition EU;353931;10;157,0000
Samsung i9195i S4 Mini white EU;369793;200;157,0000
Samsung i9301 Galaxy S3 NFC 16GB Neo black DE;269882;88;159,0000
Samsung i9301 Galaxy S3 NFC 16GB Neo black EU;369528;33;159,0000
Samsung i9301 Galaxy S3 NFC 16GB Neo blue DE;269528;0;157,0000
Samsung i9301 Galaxy S3 NFC 16GB Neo blue EU;369520;0;159,0000
Samsung i9301 Galaxy S3 NFC 16GB Neo white DE;269529;0;157,0000
Samsung i9505 Galaxy S4 4G NFC 16GB Black Edition (leather look cover) EU;353940;557;253,5000
Samsung i9505 Galaxy S4 4G NFC 16GB white frost EU;353971;559;253,5000
Samsung i9515 Galaxy S4 Value Edition 4G 16GB NFC white EU;354041;390;253,0000
Samsung J100 Galaxy J1 Duos black EU;370113;50;92,0000
Samsung J100 Galaxy J1 Duos white EU;370114;50;92,0000
Samsung J100 Galaxy J1 white EU;370121;0;83,0000
Samsung N9005 Galaxy Note 3 32GB black T-Mobile DE;269590;10;377,0000
Samsung N9005 Galaxy Note 3 4G NFC 32GB black EU;369590;367;382,5000
Samsung N9005 Galaxy Note 3 4G NFC 32GB white EU;369592;405;382,5000
Samsung N910 Galaxy Note 4 4G NFC 32GB bronze gold EU;369912;62;474,5000
Samsung N910C Note 4 4G 32GB gold WKZ Orange EU;369997;2;474,5000
Samsung N915 Galaxy Note Edge 4G NFC 32GB white EU;369891;24;559,0000
Samsung P600 Galaxy Note 10.1 2014 Edition WiFi 16GB black EU;551430;875;269,5000
Samsung S5611 black EU;369710;90;44,0000
Samsung S5611 silver EU;369711;132;44,0000
Samsung S7582 Galaxy S DUOS 2 black EU;369630;0;84,5000
Samsung T113 Galaxy Tab3 Lite 7.0 8GB ebony-black DE;551600;1;84,0000
Samsung T113 Galaxy Tab3 Lite 7.0 8GB white DE;551603;0;84,0000
Samsung T116 8GB white EU;551593;11;107,5000
Samsung T335 Galaxy Tab 4 8.0 4G 16GB white EU;551513;22;189,0000
Samsung T360 Tab Active 16GB titanium green EU;551575;5;295,0000
Samsung T365N Galaxy Tab Active NFC 16GB titanium gray DE;551572;30;369,0000
Samsung T533 Galaxy Tab 4 10.1 16GB black EU;551612;30;169,5000
Samsung T533 Galaxy Tab 4 10.1 16GB white EU;551613;57;169,5000
Samsung T535 4G 16GB white TM DE;551663;119;209,5000
Samsung T535 Galaxy Tab 4 10.1 4G 16GB black DE;551460;683;222,0000
Samsung T535 Galaxy Tab 4 10.1 4G 16GB white DE;551461;701;222,0000
Samsung T550N WiFi 16GB white EU;551505;25;234,0000
Samsung T555N 4G 16GB white EU;551494;20;269,0000
Samsung T700 Galaxy Tab S 8.4 WiFi 16GB dazzling white DE;551550;125;264,0000
Samsung T700 Galaxy Tab S 8.4 WiFi 16GB titanium bronze DE;551551;77;264,0000
Samsung T705 Galaxy Tab S 8.4 4G 16GB dazzling white EU;551542;41;315,0000
Samsung T705 Galaxy Tab S 8.4 4G 16GB titanium bronze EU;551541;13;315,0000
Samsung T800 Galaxy Tab S 10.5 WiFi 16GB dazzling white DE;551560;132;339,0000
Samsung T800 Galaxy Tab S 10.5 WiFi 32GB dazzling white EU;551566;133;339,0000
Samsung T800 Galaxy Tab S 10.5 WiFi 32GB titanium bronze EU;551567;37;339,0000
Samsung T800 S 10.5 16GB gray EU;551569;13;329,0000
Samsung T805 Galaxy Tab  S 10.5 4G 16GB dazzling white EU;551584;34;387,0000
Sony Xperia E1 D2005 purple EU;340342;206;57,0000
Sony Xperia E2303 M4 Aqua 4G NFC 8GB black DE;240490;43;226,0000
Sony Xperia E2303 M4 Aqua 4G NFC 8GB black EU;340490;25;226,0000
Sony Xperia E3 D2203 4G NFC black EU;340440;47;106,0000
Sony Xperia E4 E2105 8GB white EU;340471;17;90,0000
Sony Xperia E4 E2115 Dual 8GB black EU;340474;1000;95,0000
Sony Xperia E4 E2115 Dual 8GB white EU;340475;663;95,0000
Sony Xperia E4g E2003 4G NFC 8GB black EU;340480;30;102,0000
Sony Xperia M2 Aqua D2403 4G NFC 8GB black EU;340430;48;159,0000
Sony Xperia M2 D2303 4G 8GB NFC purple EU;340375;340;127,5000
Sony Xperia M2 D2303 4G 8GB NFC white EU;340374;1000;127,5000
Sony Xperia T3 D5103 4G NFC 8GB black EU;340290;26;166,0000
Sony Xperia T3 D5103 4G NFC 8GB white T-Mobile EU;340293;472;157,0000
Sony Xperia Tab Z3 Compact WiFi 32GB black DE;567126;5;309,5000
Sony Xperia Tipo ST21i deep red EU;340102;7;56,0000
Sony Xperia Z C6603 4G 16GB NFC white T-Mobile DE;240205;10;229,0000
Sony Xperia Z Ultra C6833 4G 16GB NFC black DE;240280;17;215,0000
